distance_A,Vc_V,Delta_phi_H_V,VQ_V,CQ_series_diff_uF_cm2,CQ_DOS_left_uF_cm2,CQ_DOS_right_uF_cm2,CQ_DOS_transfer_uF_cm2
3.7,-0.16,-0.05450512094960324,-0.10549487905039676,3.366134476038233,6.319464436831898,6.337813812551206,3.1643129120299918
3.7,-0.12,-0.04057619567437506,-0.07942380432562493,3.2662949005657835,6.316532110280376,6.330052150851893,3.1616424518271873
3.7,-0.1,-0.0337570239818429,-0.0662429760181571,3.243569455813491,6.314940019483931,6.3262056066643675,3.160283896609212
3.7,-0.08,-0.02684114812472475,-0.05315885187527525,3.2180753093211267,6.313988010523478,6.323081013777428,3.1592656203575613
3.7,-0.06,-0.02007928361162292,-0.039920716388377075,3.171986793281784,6.3141110550919235,6.321007158319268,3.158778612399201
3.7,-0.04,-0.013423499286385112,-0.02657650071361489,3.1516628859055373,6.3152784608276535,6.31991675427008,3.158798378103011
3.7,-0.02,-0.006744535962191745,-0.013255464037808255,3.176303596248417,6.316918612312875,6.319249268785634,3.1590418628061365
3.7,-0.01,-0.003314215889968687,-0.006685784110031313,3.1613161058562125,6.317682679720981,6.318860542399046,3.1591357780826175
3.7,0.0,0.0,0.0,3.133639889161482,6.31834243831065,6.31834243831065,3.159171219155325
3.7,0.01,0.003314215889968687,0.006685784110031313,3.1613161058562125,6.318860542399046,6.317682679720981,3.1591357780826175
3.7,0.02,0.006744535962191745,0.013255464037808255,3.1763035962484167,6.319249268785634,6.316918612312875,3.1590418628061365
3.7,0.04,0.013423499286385112,0.02657650071361489,3.1516628859055356,6.31991675427008,6.3152784608276535,3.158798378103011
3.7,0.06,0.02007928361162292,0.039920716388377075,3.171986793281784,6.321007158319268,6.3141110550919235,3.158778612399201
3.7,0.08,0.02684114812472475,0.05315885187527525,3.2180753093211267,6.323081013777428,6.313988010523478,3.1592656203575613
3.7,0.1,0.0337570239818429,0.0662429760181571,3.243569455813491,6.3262056066643675,6.314940019483931,3.160283896609212
3.7,0.12,0.04057619567437506,0.07942380432562493,3.2662949005657835,6.330052150851893,6.316532110280376,3.1616424518271873
3.7,0.16,0.05450512094960324,0.10549487905039676,3.3661344760382343,6.337813812551206,6.319464436831898,3.1643129120299918
10.05,-0.16,-0.0649974675337664,-0.09500253246623361,0.953285794574048,1.878372528782498,1.8870608311475172,0.9413533281690701
10.05,-0.12,-0.04689558178821786,-0.07310441821178214,0.826027763795281,1.6289430905994078,1.6347910529303558,0.8159309162861503
10.05,-0.1,-0.038364835159707934,-0.06163516484029207,0.7708846172678566,1.5170876669067153,1.5217197922071084,0.7597000995642158
10.05,-0.08,-0.030123846426569654,-0.04987615357343035,0.7168410138752239,1.4189262182638083,1.4224744827303748,0.7103490675043336
10.05,-0.06,-0.022358667489772,-0.037641332510228,0.6745740290135929,1.3367921438362398,1.3393516508030607,0.6690353366714179
10.05,-0.04,-0.014704030557821076,-0.025295969442178927,0.6452427097111233,1.2763084493116208,1.2779737850340964,0.6385702871458823
10.05,-0.02,-0.00729957341030183,-0.01270042658969817,0.6215071703170455,1.2388688186832526,1.2396891989392052,0.6196394365210058
10.05,-0.01,-0.0036588421442816234,-0.006341157855718376,0.6167261174043891,1.229461774725825,1.2298699180737833,0.614832906266339
10.05,0.0,0.0,0.0,0.6164113058272261,1.2264704163065565,1.226471501951975,0.6132354795645127
10.05,0.01,0.0036588421442816234,0.006341157855718376,0.6167261174043891,1.2298688424536812,1.2294628754247507,0.6148329127161514
10.05,0.02,0.00729957341030183,0.01270042658969817,0.6215071703170456,1.2396881291078174,1.2388699400867529,0.6196394497761905
10.05,0.04,0.014704030557821076,0.025295969442178927,0.6452427097111233,1.2779727182493306,1.2763096294168088,0.638570316207967
10.05,0.06,0.022358667489772,0.037641332510228,0.674574029013593,1.339350584850819,1.3367934041408056,0.6690353863714725
10.05,0.08,0.030123846426569654,0.04987615357343035,0.7168410138752239,1.422473427946482,1.41892757767601,0.7103491451684079
10.05,0.1,0.038364835159707934,0.06163516484029207,0.7708846172678566,1.5217187709127937,1.5170891357612182,0.7597002133519085
10.05,0.12,0.04689558178821786,0.07310441821178214,0.826027763795281,1.63479009807758,1.628944674701587,0.815931075873163
10.05,0.16,0.0649974675337664,0.09500253246623361,0.9532857945740478,1.8870601319989635,1.8783743400153667,0.9413536090874175
