distance_A,Vc_V,Q_e,Delta_phi_H_V,dQ_dVc_e_per_V,dphiH_dVc,Ctotal_diff_uF_cm2,CH_diff_uF_cm2,CQ_diff_uF_cm2
3.7,-0.16,-0.00112066,-0.05450512094960324,0.007181333333333321,0.3530661633834351,2.1776662911507043,6.16787026624731,3.366134476038233
3.7,-0.12,-0.00083558,-0.04057619567437506,0.007072666666666675,0.34338010037797373,2.144714229745441,6.245889693038876,3.2662949005657835
3.7,-0.1,-0.00069467,-0.0337570239818429,0.007023500000000002,0.34337618874125786,2.1298049381586988,6.202541142896655,3.243569455813491
3.7,-0.08,-0.00055464,-0.02684114812472475,0.006983499999999997,0.34194350925549954,2.1176753450033834,6.19305612676818,3.2180753093211267
3.7,-0.06,-0.00041533,-0.02007928361162292,0.006951500000000001,0.335441220958491,2.1079716704791336,6.284176000957209,3.171986793281784
3.7,-0.04,-0.00027658,-0.013423499286385112,0.006928500000000002,0.33336869123577945,2.1009971544148285,6.302322952484072,3.1516628859055373
3.7,-0.02,-0.00013819,-0.006744535962191745,0.006913166666666666,0.3400040602180934,2.096347477038624,6.165654244522655,3.176303596248417
3.7,-0.01,-6.909e-05,-0.003314215889968687,0.0069095,0.3372267981095872,2.0952355976660533,6.213134927032617,3.1613161058562125
3.7,0.0,0.0,0.0,0.006909,0.3314215889968687,2.095083977751612,6.321507250305913,3.133639889161482
3.7,0.01,6.909e-05,0.003314215889968687,0.0069095,0.3372267981095872,2.0952355976660533,6.213134927032617,3.1613161058562125
3.7,0.02,0.00013819,0.006744535962191745,0.006913166666666666,0.34000406021809326,2.096347477038624,6.165654244522657,3.1763035962484167
3.7,0.04,0.00027658,0.013423499286385112,0.006928500000000001,0.33336869123577945,2.1009971544148276,6.30232295248407,3.1516628859055356
3.7,0.06,0.00041533,0.02007928361162292,0.006951500000000001,0.335441220958491,2.1079716704791336,6.284176000957209,3.171986793281784
3.7,0.08,0.00055464,0.02684114812472475,0.006983499999999997,0.34194350925549954,2.1176753450033834,6.19305612676818,3.2180753093211267
3.7,0.1,0.00069467,0.0337570239818429,0.007023500000000002,0.34337618874125775,2.1298049381586988,6.202541142896656,3.243569455813491
3.7,0.12,0.00083558,0.04057619567437506,0.007072666666666677,0.34338010037797373,2.1447142297454413,6.245889693038878,3.2662949005657835
3.7,0.16,0.00112066,0.05450512094960324,0.007181333333333324,0.3530661633834351,2.1776662911507056,6.167870266247315,3.3661344760382343
10.05,-0.16,-0.00022985,-0.0649974675337664,0.0016664999999999987,0.46988701844752434,0.5053491748332695,1.0754695384071469,0.953285794574048
10.05,-0.12,-0.00016575,-0.04689558178821786,0.0015385000000000008,0.43520726882990224,0.46653447673626525,1.0719822717818783,0.826027763795281
10.05,-0.1,-0.00013562,-0.038364835159707934,0.0014762500000000006,0.4192933840412053,0.44765779738830774,1.0676481299888934,0.7708846172678566
10.05,-0.08,-0.0001067,-0.030123846426569654,0.0014179999999999996,0.40015419174839817,0.4299940773558814,1.074570968448696,0.7168410138752239
10.05,-0.06,-7.89e-05,-0.022358667489772,0.0013670000000000002,0.38549539671871447,0.4145288460828563,1.0753146460665177,0.6745740290135929
10.05,-0.04,-5.202e-05,-0.014704030557821076,0.0013267500000000002,0.37647735198675436,0.4023234429703216,1.0686524457505124,0.6452427097111233
10.05,-0.02,-2.583e-05,-0.00729957341030183,0.0012991666666666664,0.36612303686000125,0.39395907769030275,1.0760291979139938,0.6215071703170455
10.05,-0.01,-1.289e-05,-0.0036588421442816234,0.0012915,0.3649786705150915,0.391634239002201,1.0730332225976131,0.6167261174043891
10.05,0.0,0.0,0.0,0.001289,0.3658842144281623,0.3908761394299939,1.0683055568300242,0.6164113058272261
10.05,0.01,1.289e-05,0.0036588421442816234,0.0012915,0.3649786705150915,0.391634239002201,1.0730332225976131,0.6167261174043891
10.05,0.02,2.583e-05,0.00729957341030183,0.0012991666666666666,0.36612303686000114,0.39395907769030286,1.0760291979139944,0.6215071703170456
10.05,0.04,5.202e-05,0.014704030557821076,0.0013267500000000002,0.37647735198675436,0.4023234429703216,1.0686524457505124,0.6452427097111233
10.05,0.06,7.89e-05,0.022358667489772,0.0013670000000000002,0.3854953967187145,0.4145288460828563,1.0753146460665175,0.674574029013593
10.05,0.08,0.0001067,0.030123846426569654,0.0014179999999999996,0.40015419174839817,0.4299940773558814,1.074570968448696,0.7168410138752239
10.05,0.1,0.00013562,0.038364835159707934,0.0014762500000000001,0.4192933840412053,0.44765779738830763,1.0676481299888931,0.7708846172678566
10.05,0.12,0.00016575,0.04689558178821786,0.0015385000000000004,0.43520726882990224,0.46653447673626514,1.071982271781878,0.826027763795281
10.05,0.16,0.00022985,0.0649974675337664,0.0016664999999999978,0.46988701844752434,0.5053491748332692,1.0754695384071462,0.9532857945740478
