distance_A,Vc_V,Q_e,Delta_phi_H_V,Vc_minus_Delta_phi_H_V,Ctotal_secant_uF_cm2,CH_secant_uF_cm2,CQ_series_secant_uF_cm2
3.7,0.005,3.402e-05,0.0016837062246782134,0.0033162937753217865,2.063243795718913,6.127089647462805,3.1107675246875743
3.7,0.01,6.804e-05,0.0032408165769926807,0.0067591834230073195,2.063243795718913,6.36643187512174,3.0525045210282626
3.7,0.02,0.00013606,0.00661784825139031,0.01338215174860969,2.06294055589003,6.234475247922577,3.083122347800838
3.7,0.04,0.0002719,0.013103479778442588,0.02689652022155741,2.061272736831174,6.29229112169826,3.0654861221476164
3.7,0.06,0.00040732,0.01953629910691263,0.040463700893087366,2.0585941183427092,6.322366709509395,3.052504945776312
3.7,0.08,0.00054212,0.025956849501617644,0.05404315049838236,2.0549047004246344,6.3332946482478825,3.041872550322384
3.7,0.12,0.00082266,0.03972671061854857,0.08027328938145142,2.0788606469063797,6.27948485400878,3.107674788849608
3.7,0.16,0.0011071,0.05349954968155782,0.10650045031844219,2.0982300909762714,6.275133464757566,3.152257230390968
10.05,0.005,-0.0,3.7763384427830225e-16,0.004999999999999623,-0.0,nan,-0.0
10.05,0.01,0.0,3.7763384427830225e-16,0.009999999999999622,0.0,nan,0.0
10.05,0.02,0.0,3.7763384427830225e-16,0.019999999999999622,0.0,nan,0.0
10.05,0.04,0.0,3.7763384427830225e-16,0.039999999999999626,0.0,nan,0.0
10.05,0.06,8.889e-05,0.004990851406001966,0.05500914859399803,0.44924980648994256,5.400879769127299,0.4900091908046287
10.05,0.08,8.889e-05,0.025164783872193744,0.05483521612780626,0.3369373548674569,1.071139276470438,0.4915634567131397
10.05,0.12,8.889e-05,0.02858404336627141,0.09141595663372859,0.22462490324497128,0.9430082386875641,0.2948608687364686
10.05,0.16,0.00017778,0.05025997207300061,0.10974002792699938,0.3369373548674569,1.0726224976904286,0.4912517136833133
