distance_A,cell_A,edge_clearance_A,V_ESM_V,Q_e,DeltaV_raw_signed_V,DeltaV_external_layers_V,DeltaV_induced_V,CH_induced_uF_cm2,Cparallel_eps0_over_d_uF_cm2
10.05,30.0,9.975,0.6,0.00034170250000009617,-0.12292735573209192,-0.201,0.0780726442679081,1.3271973634363448,0.8810137127164177
10.05,30.0,9.975,1.2,0.0008099104999998996,-0.22151253628815545,-0.402,0.18048746371184457,1.3607433800637743,0.8810137127164177
10.05,30.0,9.975,1.8,0.0013985855000002712,-0.2968722701293094,-0.6030000000000001,0.3061277298706907,1.385391737877721,0.8810137127164177
10.05,30.0,9.975,2.4,0.002046594000000068,-0.3609458882696686,-0.804,0.44305411173033143,1.4007517319474223,0.8810137127164177
10.05,30.0,9.975,3.0,0.0027261015000001887,-0.4187995761237653,-1.0050000000000001,0.5862004238762348,1.4102046308855496,0.8810137127164177
10.05,30.0,9.975,3.9,0.003789181999999558,-0.4971723617831428,-1.3065,0.8093276382168573,1.4197351567251952,0.8810137127164177
12.17,30.0,8.915,0.6,0.0004257030000001105,-0.1454623345983267,-0.24339999999999998,0.09793766540167329,1.3180843585101831,0.7275421374527526
12.17,30.0,8.915,1.2,0.0010296419999997752,-0.2527960048929341,-0.48679999999999995,0.23400399510706588,1.3342868943227695,0.7275421374527526
12.17,30.0,8.915,1.8,0.0017568385000001907,-0.33382714479109965,-0.7302,0.3963728552089003,1.3440461401780135,0.7275421374527526
12.17,30.0,8.915,2.4,0.002537671000000019,-0.40340070698323205,-0.9735999999999999,0.5701992930167679,1.3495683513208911,0.7275421374527526
12.17,30.0,8.915,3.0,0.0033486549999999227,-0.4663936995473841,-1.2169999999999999,0.7506063004526158,1.3528337939281394,0.7275421374527526
12.17,30.0,8.915,3.9,0.00461997199999975,-0.5494638405744068,-1.5821,1.0326361594255933,1.3566826088123536,0.7275421374527526
14.29,30.0,7.855,0.6,0.000520117500000028,-0.16796093198214648,-0.2858,0.11783906801785352,1.3384384682598516,0.6196072647165851
14.29,30.0,7.855,1.2,0.00127638150000009,-0.2830635050602899,-0.5716,0.2885364949397101,1.341423752063451,0.6196072647165851
14.29,30.0,7.855,1.8,0.0021564525000004053,-0.37069618783848135,-0.8573999999999999,0.4867038121615186,1.3435733823204683,0.6196072647165851
14.29,30.0,7.855,2.4,0.0030867770000000405,-0.44706253980608585,-1.1432,0.6961374601939141,1.344610486869635,0.6196072647165851
14.29,30.0,7.855,3.0,0.004056043999999703,-0.5146422464985649,-1.4289999999999998,0.9143577535014349,1.3451562955432315,0.6196072647165851
14.29,30.0,7.855,3.9,0.005572981499999852,-0.6020865738255109,-1.8577,1.255613426174489,1.3459158059308594,0.6196072647165851
