distance_A,V_ESM_V,Q_e,DeltaV_raw_Hartree_V,Ctotal_Sohib_uF_cm2,CQ_DOS_transfer_uF_cm2,Cgeom_effective_series_uF_cm2,DeltaV_external_between_layers_V,DeltaV_induced_Hartree_V,CH_induced_uF_cm2,Cterminal_Q_over_VESM_uF_cm2,Cparallel_eps0_over_d_uF_cm2
3.7,0.4,0.0002693074999997602,0.03524663478985074,2.3169519786414,3.1587408647719903,8.694164317481302,-0.07400000000000001,0.03875336521014927,2.107294676835135,0.20416190054198868,2.3930237331891893
3.7,0.8,0.0005423010000003003,0.07031735596097718,2.3386439975693927,3.160684930656021,8.991908485058106,-0.14800000000000002,0.07768264403902284,2.1169112415957643,0.20555907805386203,2.3930237331891893
3.7,1.2,0.0008222340000001438,0.10494882413246064,2.3757683758991837,3.1642637282298782,9.534054546183972,-0.22200000000000003,0.1170511758675394,2.1301289424367953,0.20777841455142088,2.3930237331891893
3.7,1.6,0.0011116169999996206,0.13901656955960043,2.4247940366463547,3.1682755511419796,10.333028478957194,-0.29600000000000004,0.1569834304403996,2.1472747022886,0.21067909303947016,2.3930237331891893
3.7,2.0,0.0014120980000003058,0.17246555763887636,2.4828398304461454,3.1764305605436163,11.370636849854902,-0.37,0.19753444236112364,2.1677452841519336,0.21410217794295386,2.3930237331891893
3.7,2.6,0.0018855155000003787,0.22123251045663903,2.5844456422607953,3.197265054645524,13.483838094286298,-0.48100000000000004,0.25976748954336104,2.2010583332855296,0.21990899906772174,2.3930237331891893
5.82,0.4,0.000199720999999764,0.07933174620378013,0.7634189938120175,0.8507049806153115,7.4404192942881835,-0.11640000000000002,0.03706825379621989,1.6338336895280519,0.1514084046606004,1.5213381121649483
5.82,0.8,0.0004557634999999838,0.1529217644991794,0.9037670092525357,1.3485031154370133,2.7403500877455254,-0.23280000000000003,0.07987823550082063,1.7302040397427672,0.17275705718880494,1.5213381121649483
5.82,1.2,0.0007902629999998467,0.21832986067468854,1.0976016571982508,1.8753790888981008,2.6465401436896667,-0.3492,0.13087013932531147,1.8311221958487895,0.1996993474103345,1.5213381121649483
5.82,1.6,0.0012093899999998659,0.2752181520289424,1.3325255400087965,2.3542850732992795,3.0703359121396048,-0.46560000000000007,0.19038184797105767,1.9263139871840174,0.22920951040786844,1.5213381121649483
5.82,2.0,0.0016828169999998366,0.32654243201115685,1.5627284208616008,2.7905197362703875,3.5517635986804814,-0.5820000000000001,0.2554575679888432,1.9975808238469894,0.2551485695605509,1.5213381121649483
5.82,2.6,0.0024584910000002846,0.39674405293613213,1.8790764086642182,3.394737811233261,4.208705007514529,-0.7566,0.3598559470638679,2.0716967337427348,0.28673553467312063,1.5213381121649483
7.93,0.4,0.00030147149999981693,0.11126188359900571,0.8216485566834104,1.0463094120276637,3.8266506949751466,-0.15860000000000002,0.04733811640099431,1.9311745591778653,0.22854541518250163,1.1165432298612865
7.93,0.8,0.0007221529999998921,0.20728316846130398,1.0564560247354808,1.7844171921976517,2.589641285277409,-0.31720000000000004,0.10991683153869605,1.992284066795636,0.2737319401840052,1.1165432298612865
7.93,1.2,0.001287411499999891,0.28438845720529704,1.372750662239286,2.4324547910382712,3.151024738432734,-0.4758,0.19141154279470296,2.0395553855416915,0.3253287024681503,1.1165432298612865
7.93,1.6,0.0019360869999998087,0.3508620143793206,1.673303653633859,2.999056888449651,3.785269171601057,-0.6344000000000001,0.2835379856206795,2.0706174140902602,0.3669366816139079,1.1165432298612865
7.93,2.0,0.0026314789999999366,0.4110969036816866,1.94107334431948,3.5174548773411933,4.331209012050443,-0.7929999999999999,0.3819030963183133,2.0894547579255374,0.3989846208343973,1.1165432298612865
7.93,2.6,0.003736256499999868,0.49365355122333476,2.2950949687584083,4.2321805307822435,5.014366135137245,-1.0309,0.5372464487766652,2.10886788419402,0.4357622237393834,1.1165432298612865
10.05,0.4,0.0004178810000003974,0.14333814460772498,0.8840505315616144,1.274953501483655,2.8833838763817865,-0.201,0.05766185539227503,2.1976081427045315,0.316795407333787,0.8810137127164177
10.05,0.8,0.0010567029999997146,0.2562940954218323,1.250260706835667,2.193013487333146,2.9083325443245647,-0.402,0.14570590457816773,2.1991863530005573,0.4005430461248849,0.8810137127164177
10.05,1.2,0.0018719279999999117,0.34477739799527785,1.6464046938737087,2.946567619977687,3.7312575700682435,-0.603,0.25822260200472213,2.198270492180265,0.47303593866749105,0.8810137127164177
10.05,1.6,0.0027676555000002434,0.4222069427114128,1.9878009936004462,3.6125557299915534,4.419769771199233,-0.804,0.38179305728858726,2.1982154054529492,0.5245396126417206,0.8810137127164177
10.05,2.0,0.0037159525000001192,0.4922696274275592,2.289039862412912,4.220051398525759,5.00248998620809,-1.0050000000000001,0.5127303725724409,2.197694656907871,0.5634124001184178,0.8810137127164177
10.05,2.6,0.005233961499999884,0.5842369134014458,2.7166129924913145,5.018998854028712,5.921977598945549,-1.3065000000000002,0.7222630865985544,2.1974618654733384,0.6104406113997656,0.8810137127164177
12.17,0.4,0.0005702755000001059,0.17879565981771703,0.9671948704594792,1.5526276264271217,2.565099852555891,-0.2434,0.06460434018228298,2.676758938303314,0.4323256125902848,0.7275421374527526
12.17,0.8,0.001514380999999787,0.3092993314453557,1.4847126670382282,2.6439085606399897,3.3863513079538032,-0.4868,0.1775006685546443,2.587148764242553,0.5740257941292187,0.7275421374527526
12.17,1.2,0.0026629700000000422,0.4138197978823257,1.9513773175004143,3.540766810330637,4.347186181490348,-0.7302,0.31638020211767426,2.552367568245716,0.6729321392668136,0.7275421374527526
12.17,1.6,0.0039107924999994825,0.5053072127763402,2.346905048080296,4.332569955541343,5.120768495033934,-0.9736,0.46829278722365986,2.5324072478822512,0.7411925303101106,0.7275421374527526
12.17,2.0,0.005250323499999876,0.5850984662597862,2.7210927587915896,5.026624730705008,5.932649090323603,-1.217,0.6319015337402138,2.519549510025582,0.7960535998597847,0.7275421374527526
12.17,2.6,0.007381245000000369,0.6892533908412412,3.247408718600066,5.923478009969582,7.188137540402299,-1.5821,0.8928466091587589,2.506911543127685,0.8608797964394251,0.7275421374527526
